,Nick,Pontos
2,BES Toddy,173
9,vMetangTTV,156
14,FOUR SaintOz,152
19,PedroBanana,142
24,Erith,133
29,NDL Carlão,124
34,Kazzumii,116
39,Senhor Mindua,103
