,Nick,Pontos
2,BEE Phelpz13,149
11,BEE Itachi,127
17,KDA Wenked,121
23,FOUR Jhin,113
29,The Nextt,105
35,Godi,94
41,Dino Lothbrok,85
47,Nyash,76
