Nick,Pontos
BES Midor1ya,154
BEE Phelpz13,149
BES Toddy,148
Miguel Arkjow,143
BES Vipi,137
FOUR Bieul,136
vMetangTTV,135
TMT Xaue,134
zzhcet,133
BEE Xiellendario,130
BEE Itachi,127
Highroller Bnas,126
KDA Guiczar,126
FOUR SaintOz,124
BES Inc mplete,123
FOUR Koke,122
KDA Wenked,121
PedroBanana,120
Erith,118
Felipeanjos,115
TFX D klein,115
BEE Soft,114
FOUR Jhin,113
D Pazzini,112
vovô nuco,112
EMS Sartii,111
NDL Carlão,108
KDA ConsTanTine,107
The Nextt,105
F 0 J O,103
JosneyQT,103
FOUR Steps Days,102
Faret,102
Kazzumii,98
Godi,94
Senhor Mindua,87
perfect comp tft,87
ll The Exile ll,87
AI CE TOMA,86
TchxuunaiY,85
Dino Lothbrok,85
TMT Sneaky1,82
enzomir23,82
xQc,77
Missão,77
Di Pano,76
Nyash,76
CheckMate,73
