,Nick,Pontos
1,BES Midor1ya,182
10,zzhcet,155
15,BEE Itachi,149
20,FOUR Koke,139
25,vovô nuco,130
30,FOUR Steps Days,124
35,F 0 J O,112
40,TchxuunaiY,102
