,Nick,Pontos
2,BES Midor1ya,227
7,FOUR Bieul,214
11,vMetangTTV,201
15,BES Inc mplete,192
19,BEE Soft,184
23,NDL Carlão,178
27,vovô nuco,169
31,D Pazzini,157
