,Nick,Pontos
5,Miguel Arkjow,86
12,FOUR Koke,76
20,PedroBanana,71
28,TFX D klein,64
31,Di Pano,60
36,The Nextt,53
44,CheckMate,48
52,TheGoodMamate,37
