,Nick,Pontos
4,Miguel Arkjow,58
11,BEE Soft,52
19,JosneyQT,45
27,Di Pano,42
35,ll The Exile ll,37
39,perfect comp tft,36
43,xQc,34
51,Capotei o cherry,25
