,Nick,Pontos
5,BEE Phelpz13,191
6,zzhcet,187
11,BEE Itachi,178
16,Highroller Bnas,171
21,FOUR Koke,161
26,vovô nuco,148
31,FOUR Steps Days,139
36,F 0 J O,126
