Nick,Pontos
BES Toddy,283
Miguel Arkjow,282
BEE Xiellendario,277
BES Midor1ya,269
FOUR Jhin,267
BEE Phelpz13,266
BES Vipi,263
FOUR Bieul,262
zzhcet,254
TFX D klein,246
KDA Guiczar,242
TMT Xaue,239
BES Inc mplete,238
FOUR SaintOz,237
BEE Itachi,235
Felipeanjos,229
Highroller Bnas,227
PedroBanana,224
Erith,219
KDA Wenked,219
JosneyQT,218
FOUR Steps Days,211
vovô nuco,204
FOUR Koke,202
