,Nick,Pontos
6,KDA Guiczar,86
13,FOUR Bieul,75
21,TMT Xaue,71
23,KDA ConsTanTine,70
29,Kazzumii,64
37,Dino Lothbrok,53
45,Senhor Mindua,46
53,Capotei o cherry,36
