,Nick,Pontos
3,BES Midor1ya,33
10,FOUR Jhin,28
18,D Pazzini,23
26,F 0 J O,21
34,NDL Carlão,19
42,Kazzumii,15
50,Eme3rs0n,12
47,BEE Xiellendario,13
