,Nick,Pontos
7,zzhcet,83
14,BES Inc mplete,74
15,FOUR SaintOz,72
22,Felipeanjos,70
30,D Pazzini,62
38,perfect comp tft,53
46,AI CE TOMA,46
54,epilef1993,36
