,Nick,Pontos
7,vovô nuco,54
14,FOUR Bieul,50
15,BES Vipi,49
22,BEE Xiellendario,44
30,Felipeanjos,40
38,AI CE TOMA,36
46,Missão,33
54,Greed Farkas,21
