Nick,Pontos
BEE Xiellendario,231
BES Midor1ya,227
BES Toddy,224
Miguel Arkjow,224
BEE Phelpz13,220
BES Vipi,219
FOUR Bieul,214
zzhcet,206
FOUR Jhin,203
KDA Guiczar,202
vMetangTTV,201
BEE Itachi,198
TMT Xaue,196
TFX D klein,194
BES Inc mplete,192
FOUR SaintOz,188
Highroller Bnas,187
KDA Wenked,187
BEE Soft,184
PedroBanana,180
Erith,179
Felipeanjos,178
NDL Carlão,178
JosneyQT,176
FOUR Koke,172
FOUR Steps Days,171
vovô nuco,169
KDA ConsTanTine,161
EMS Sartii,160
The Nextt,158
D Pazzini,157
Godi,156
