,Nick,Pontos
6,FOUR Bieul,136
7,vMetangTTV,135
13,KDA Guiczar,126
19,Erith,118
25,vovô nuco,112
31,JosneyQT,103
37,perfect comp tft,87
43,enzomir23,82
