,Nick,Pontos
3,BES Toddy,148
10,BEE Xiellendario,130
16,FOUR Koke,122
22,BEE Soft,114
28,KDA ConsTanTine,107
34,Kazzumii,98
40,TchxuunaiY,85
46,Di Pano,76
