Nick,Pontos
BEE Phelpz13,128
BES Midor1ya,122
vMetangTTV,121
Miguel Arkjow,121
BES Toddy,118
zzhcet,113
BES Vipi,110
BEE Itachi,109
KDA Guiczar,109
FOUR Bieul,106
TMT Xaue,105
Highroller Bnas,105
KDA Wenked,102
FOUR Koke,101
BES Inc mplete,100
BEE Soft,97
EMS Sartii,96
BEE Xiellendario,95
JosneyQT,95
FOUR SaintOz,94
vovô nuco,93
PedroBanana,93
Erith,93
FOUR Jhin,90
Felipeanjos,89
FOUR Steps Days,89
KDA ConsTanTine,87
NDL Carlão,86
D Pazzini,82
Kazzumii,82
TFX D klein,81
Faret,78
The Nextt,77
F 0 J O,76
Di Pano,76
Godi,75
AI CE TOMA,72
TchxuunaiY,71
perfect comp tft,69
Senhor Mindua,68
Missão,68
Nyash,67
ll The Exile ll,67
TMT Sneaky1,64
Dino Lothbrok,64
CheckMate,61
xQc,59
enzomir23,58
