Nick,Pontos
BES Midor1ya,97
vMetangTTV,96
BEE Phelpz13,94
BES Toddy,92
Miguel Arkjow,86
KDA Guiczar,86
zzhcet,83
BES Vipi,82
EMS Sartii,80
BEE Itachi,80
Highroller Bnas,76
FOUR Koke,76
FOUR Bieul,75
BES Inc mplete,74
FOUR SaintOz,72
FOUR Steps Days,72
KDA Wenked,72
vovô nuco,71
BEE Soft,71
PedroBanana,71
TMT Xaue,71
Felipeanjos,70
KDA ConsTanTine,70
JosneyQT,70
BEE Xiellendario,70
FOUR Jhin,67
NDL Carlão,66
TFX D klein,64
Kazzumii,64
D Pazzini,62
Di Pano,60
Erith,59
F 0 J O,59
Faret,59
Godi,56
The Nextt,53
Dino Lothbrok,53
perfect comp tft,53
Nyash,53
ll The Exile ll,52
TchxuunaiY,51
Missão,51
TMT Sneaky1,49
CheckMate,48
Senhor Mindua,46
AI CE TOMA,46
xQc,43
enzomir23,43
Salgatinho,42
Eme3rs0n,40
Noslide55,38
TheGoodMamate,37
Capotei o cherry,36
epilef1993,36
Greed Farkas,32
Dipow,32
