,Nick,Pontos
2,TMT Xaue,34
9,Nyash,29
17,KDA ConsTanTine,25
25,FOUR Bieul,21
33,BES Vipi,19
41,TheGoodMamate,16
49,CheckMate,13
55,Godi,6
