,Nick,Pontos
3,BEE Xiellendario,166
8,FOUR Bieul,156
13,BES Inc mplete,153
18,Felipeanjos,143
23,JosneyQT,133
28,D Pazzini,127
33,Godi,116
38,Dino Lothbrok,108
