,Nick,Pontos
5,BES Toddy,118
8,BEE Itachi,109
14,FOUR Koke,101
20,FOUR SaintOz,94
26,FOUR Steps Days,89
32,Faret,78
38,TchxuunaiY,71
44,TMT Sneaky1,64
