,Nick,Pontos
3,BES Toddy,224
6,BES Vipi,219
10,KDA Guiczar,202
14,TFX D klein,194
18,KDA Wenked,187
22,Felipeanjos,178
26,FOUR Steps Days,171
30,The Nextt,158
