,Nick,Pontos
4,BEE Phelpz13,164
7,BES Vipi,162
12,Highroller Bnas,154
17,FOUR Jhin,147
22,BEE Soft,138
27,EMS Sartii,128
32,Faret,120
37,perfect comp tft,109
