,Nick,Pontos
1,BES Toddy,283
6,BEE Phelpz13,266
9,zzhcet,254
12,TMT Xaue,239
15,BEE Itachi,235
18,PedroBanana,224
21,JosneyQT,218
24,FOUR Koke,202
