,Nick,Pontos
3,BES Midor1ya,65
10,EMS Sartii,52
18,Kazzumii,45
26,BES Inc mplete,42
34,Noslide55,38
42,TheGoodMamate,34
47,Senhor Mindua,31
50,CheckMate,26
