,Nick,Pontos
5,BES Vipi,137
8,TMT Xaue,134
14,FOUR SaintOz,124
20,Felipeanjos,115
26,EMS Sartii,111
32,FOUR Steps Days,102
38,ll The Exile ll,87
44,xQc,77
