,Nick,Pontos
1,BEE Phelpz13,34
8,FOUR Koke,31
16,TchxuumaiY,25
24,Miguel Arkjow,22
32,ll The Exile ll,20
40,Senhor Mindua,16
48,Capotei o cherry,13
56,enzomir23,6
