,Nick,Pontos
1,BES Midor1ya,154
12,Highroller Bnas,126
18,PedroBanana,120
24,D Pazzini,112
30,F 0 J O,103
36,Senhor Mindua,87
42,TMT Sneaky1,82
48,CheckMate,73
