,Nick,Pontos
1,BES Midor1ya,207
10,FOUR Jhin,179
15,BES Inc mplete,171
20,PedroBanana,163
25,Erith,153
30,D Pazzini,139
35,Dino Lothbrok,127
40,TchxuunaiY,116
