,Nick,Pontos
4,Miguel Arkjow,224
5,BEE Phelpz13,220
9,FOUR Jhin,203
13,TMT Xaue,196
17,Highroller Bnas,187
21,Erith,179
25,FOUR Koke,172
29,EMS Sartii,160
