,Nick,Pontos
1,BEE Xiellendario,231
8,zzhcet,206
12,BEE Itachi,198
16,FOUR SaintOz,188
20,PedroBanana,180
24,JosneyQT,176
28,KDA ConsTanTine,161
32,Godi,156
