,Nick,Pontos
7,FOUR Steps Days,31
14,BES Inc mplete,26
22,perfect comp tft,23
30,JosneyQT,20
38,Noslide55,17
46,TMT Sneaky1,13
54,Erith,8
15,Di Pano,26
