,Nick,Pontos
1,vMetangTTV,68
8,FOUR Steps Days,54
16,TMT Xaue,48
24,KDA Wenked,42
32,The Nextt,39
40,Dino Lothbrok,35
48,Faret,29
56,Dipow,19
