,Nick,Pontos
4,vMetangTTV,32
11,Highroller Bnas,27
19,KDA Wenked,23
27,BEE Itachi,20
35,Faret,18
43,Dino Lothbrok,14
51,Salgatinho,12
39,AI CE TOMA,16
