Nick,Pontos
BES Midor1ya,207
BEE Xiellendario,201
BES Toddy,197
Miguel Arkjow,194
BEE Phelpz13,191
zzhcet,187
vMetangTTV,185
BES Vipi,185
FOUR Bieul,180
FOUR Jhin,179
BEE Itachi,178
KDA Guiczar,178
TMT Xaue,177
FOUR SaintOz,172
BES Inc mplete,171
Highroller Bnas,171
KDA Wenked,171
BEE Soft,167
Felipeanjos,163
PedroBanana,163
FOUR Koke,161
TFX D klein,158
JosneyQT,156
NDL Carlão,154
Erith,153
vovô nuco,148
KDA ConsTanTine,143
The Nextt,143
EMS Sartii,140
D Pazzini,139
FOUR Steps Days,139
Faret,137
Godi,134
TMT Sneaky1,134
Dino Lothbrok,127
F 0 J O,126
Kazzumii,126
perfect comp tft,120
Senhor Mindua,117
TchxuunaiY,116
