,Nick,Pontos
2,vMetangTTV,96
9,EMS Sartii,80
17,KDA Wenked,72
25,BEE Xiellendario,70
33,F 0 J O,59
41,TchxuunaiY,51
49,Salgatinho,42
55,Greed Farkas,32
