,Nick,Pontos
4,Miguel Arkjow,194
7,vMetangTTV,185
12,KDA Guiczar,178
17,KDA Wenked,171
22,TFX D klein,158
27,KDA ConsTanTine,143
32,Faret,137
37,Kazzumii,126
