,Nick,Pontos
5,TMT Xaue,163
6,Miguel Arkjow,163
11,KDA Guiczar,155
16,KDA Wenked,148
21,TFX D klein,138
26,KDA ConsTanTine,128
31,The Nextt,123
36,TMT Sneaky1,112
