,Player,Pontos
2,BEE Phelpz13,67
9,FOUR Koke,53
17,BEE Itachi,46
25,Di Pano,43
33,NDL Carlão,39
41,TMT Sneaky1,36
49,CheckMate,29
55,Dipow,24
