,Nick,Pontos
2,BEE Xiellendario,201
9,FOUR Bieul,180
14,FOUR SaintOz,172
19,Felipeanjos,163
24,NDL Carlão,154
29,EMS Sartii,140
34,Só Sneaky,134
39,Senhor Mindua,117
