,Nick,Pontos
1,BEE Phelpz13,128
12,Highroller Bnas,105
18,BEE Xiellendario,95
24,FOUR Jhin,90
30,Kazzumii,82
36,Godi,75
42,Nyash,67
48,enzomir23,58
