,Nick,Pontos
6,KDA Guiczar,55
13,KDA ConsTanTine,51
21,Highroller Bnas,44
23,FOUR SaintOz,43
29,Nyash,40
37,TchxuunaiY,36
45,F 0 J O,33
53,epilef1993,22
