Nick,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Pontos
Pazzini,0,0,0,0,0
Sartii,0,0,0,0,0
Godi ,0,0,0,0,0
Missao ,0,0,0,0,0
Guilherme Maximiano ,0,0,0,0,0
Kazumi,0,0,0,0,0
Pedroca,0,0,0,0,0
random2,0,0,0,0,0
