Nick,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Pontos
Highroller Bnas ,0,0,0,0,0
BES Toddy,0,0,0,0,0
Leo peixoto,0,0,0,0,0
xiellendario,0,0,0,0,0
Xaue,0,0,0,0,0
carluuuuuus,0,0,0,0,0
Eunuco,0,0,0,0,0
random4 ,0,0,0,0,0
