Nick,Pontos
Maahs,176
PedroBanana,138
BES Toddy,100
Pazzini,4
Gabriel Passos,0
Xaue,0
xiellendario,0
Leo peixoto,0
koke TFT ,0
random2,0
Eddd ,0
random3,0
KDA Guiczar ,0
Bieul,0
Kyoto ,0
Techzz,0
F 0 J O,0
random5,0
Highroller Bnas ,0
Guilherme Maximiano ,0
Missao ,0
Godi ,0
random1,0
Dugra,0
Miguel Arkjow ,0
Pedroca,0
Nyash,0
DiPano ,0
Eunuco,0
carluuuuuus,0
Kazumi,0
random4 ,0
